,url,title,image_url,season,episode_number_absolute,production_code,airdate,main_characters,written_by,directed_by
0,https://simpsons.fandom.com/wiki/Simpsons_Roasting_on_an_Open_Fire,Simpsons Roasting on an Open Fire,https://static.wikia.nocookie.net/simpsons/images/b/b6/7G08_001.jpg/revision/latest/scale-to-width-down/350?cb=20160619132832,,1,7G08,"December 17, 1989",Homer Simpson Santa's Little Helper,Mimi Pond,David Silverman
1,https://simpsons.fandom.com/wiki/Bart_the_Genius,Bart the Genius,https://static.wikia.nocookie.net/simpsons/images/9/9b/Bart_the_Genius.jpg/revision/latest/scale-to-width-down/350?cb=20060627201023,1.0,2,7G02,"January 14, 1990",Bart Simpson,Jon Vitti,David Silverman
2,https://simpsons.fandom.com/wiki/Homer%27s_Odyssey,Homer's Odyssey,https://static.wikia.nocookie.net/simpsons/images/e/ed/Homer%27s_Odyssey_%28Mr._Burns_Looking_Out_the_Window%29.png/revision/latest/scale-to-width-down/350?cb=20200915011051,1.0,3,7G03,"January 21, 1990","Homer Simpson,Mr. Burns",Jay Kogen & Wallace Wolodarsky,Wes Archer
3,https://simpsons.fandom.com/wiki/There%27s_No_Disgrace_Like_Home,There's No Disgrace Like Home,https://static.wikia.nocookie.net/simpsons/images/2/20/There%27s_No_Disgrace_Like_Home_%28Promo_Picture%29.jpg/revision/latest/scale-to-width-down/350?cb=20120623142946,1.0,4,7G04,"January 28, 1990",Homer Simpson,Al Jean & Mike Reiss,Gregg Vanzo & Kent Butterworth
4,https://simpsons.fandom.com/wiki/Bart_the_General,Bart the General,https://static.wikia.nocookie.net/simpsons/images/a/a7/Bart_the_General_%28Promo_Picture%29.jpg/revision/latest/scale-to-width-down/323?cb=20120623135346,,5,7G05,"February 4, 1990","Bart Simpson,Grampa Simpson,Nelson Muntz",John Swartzwelder,David Silverman
5,https://simpsons.fandom.com/wiki/Moaning_Lisa,Moaning Lisa,https://static.wikia.nocookie.net/simpsons/images/6/65/Moaning_Lisa.jpg/revision/latest/scale-to-width-down/350?cb=20130930002108,1.0,6,7G06,"February 11, 1990",Lisa Simpson,Al Jean & Mike Reiss,Wes Archer
6,https://simpsons.fandom.com/wiki/The_Call_of_the_Simpsons,The Call of the Simpsons,https://static.wikia.nocookie.net/simpsons/images/0/08/The_Call_of_the_Simpsons_%28Promo_Picture%29.jpg/revision/latest?cb=20120623135900,1.0,7,7G09,"February 18, 1990","Homer Simpson,Bart Simpson",John Swartzwelder,Wesley Archer
7,https://simpsons.fandom.com/wiki/The_Telltale_Head,The Telltale Head,https://static.wikia.nocookie.net/simpsons/images/4/4d/Tt34.png/revision/latest/scale-to-width-down/350?cb=20140807094446,1.0,8,7G07,"February 25, 1990",Bart Simpson,"Al Jean, Mike Reiss, Sam Simon & Matt Groening",Rich Moore
8,https://simpsons.fandom.com/wiki/Life_on_the_Fast_Lane,Life on the Fast Lane,https://static.wikia.nocookie.net/simpsons/images/1/1e/Life_on_the_Fast_Lane.jpg/revision/latest/scale-to-width-down/350?cb=20130930005354,1.0,9,7G11,"March 18, 1990",Marge Simpson,John Swartzwelder,David Silverman
9,https://simpsons.fandom.com/wiki/Homer%27s_Night_Out,Homer's Night Out,https://static.wikia.nocookie.net/simpsons/images/a/a6/7G10.jpeg/revision/latest/scale-to-width-down/350?cb=20201001222220,1.0,10,7G10,"March 25, 1990",Homer Simpson,Jon Vitti,Rich Moore
10,https://simpsons.fandom.com/wiki/The_Crepes_of_Wrath,The Crepes of Wrath,https://static.wikia.nocookie.net/simpsons/images/7/70/The_Crepes_of_Wrath_%28Promo_Pictures%29.jpg/revision/latest?cb=20120623145133,1.0,11,7G13,"April 15, 1990",Bart Simpson,"George Meyer, Sam Simon, John Swartzwelder and Jon Vitti","Wes Archer, Milton Gray"
11,https://simpsons.fandom.com/wiki/Krusty_Gets_Busted,Krusty Gets Busted,https://static.wikia.nocookie.net/simpsons/images/9/98/Krusty_Gets_Busted_%28Promo_Picture%29.gif/revision/latest?cb=20120623192543,1.0,12,7G12,"April 22, 1990","Bart Simpson,Krusty the Clown,Sideshow Bob",Jay Kogen & Wallace Wolodarsky,Brad Bird
12,https://simpsons.fandom.com/wiki/Some_Enchanted_Evening,Some Enchanted Evening,https://static.wikia.nocookie.net/simpsons/images/a/a9/See_96.jpg/revision/latest/scale-to-width-down/350?cb=20200915010656,,13,7G01,"May 13, 1990","Bart Simpson,Lisa Simpson,Homer Simpson,Marge Simpson,Lucille Botzcowski","Matt Groening,Sam Simon","David Silverman,Kent Butterworth"
13,https://simpsons.fandom.com/wiki/Bart_Gets_an_%22F%22,"Bart Gets an ""F""",https://static.wikia.nocookie.net/simpsons/images/d/d1/7F03.jpg/revision/latest/scale-to-width-down/350?cb=20200322000701,,14,7F03,"October 11, 1990",Bart Simpson Edna Krabappel,David M. Stern,David Silverman
14,https://simpsons.fandom.com/wiki/Simpson_and_Delilah,Simpson and Delilah,https://static.wikia.nocookie.net/simpsons/images/1/12/Simpson_and_Delilah.gif/revision/latest?cb=20060627201415,2.0,15,7F02,"October 18, 1990","Homer Simpson,Mr. Burns",Jon Vitti,Rich Moore
15,https://simpsons.fandom.com/wiki/Treehouse_of_Horror,Treehouse of Horror,https://static.wikia.nocookie.net/simpsons/images/4/4b/Baddreamhouse.jpg/revision/latest/scale-to-width-down/350?cb=20210513221347,,16,7F04,"October 25, 1990","Bart Simpson,Lisa Simpson,Homer Simpson","John Swartzwelder (part 1),Jay Kogen and Wallace Wolodarsky (part 2),Edgar Allan Poe (Original ""The Raven"" poem) and Sam Simon (part 3)","Wes Archer (part 1),Rich Moore (part 2),David Silverman (part 3)"
16,https://simpsons.fandom.com/wiki/Two_Cars_in_Every_Garage_and_Three_Eyes_on_Every_Fish,Two Cars in Every Garage and Three Eyes on Every Fish,https://static.wikia.nocookie.net/simpsons/images/d/d4/Blinky_caught.jpg/revision/latest?cb=20121116190742,2.0,17,7F01,"November 1, 1990",Mr. Burns,"John Swartzwelder,Sam Simon",Wes Archer
17,https://simpsons.fandom.com/wiki/Dancin%27_Homer,Dancin' Homer,https://static.wikia.nocookie.net/simpsons/images/2/2e/Dancin%27_Homer.gif/revision/latest?cb=20181019234642,2.0,18,7F05,"November 8, 1990",Homer Simpson,"Ken Levine,David Isaacs","Mark Kirkland,David Silverman (Supervising Director)"
18,https://simpsons.fandom.com/wiki/Dead_Putting_Society,Dead Putting Society,https://static.wikia.nocookie.net/simpsons/images/2/20/7F08.jpg/revision/latest/scale-to-width-down/350?cb=20200323002859,2.0,19,7F08,"November 15, 1990","Bart Simpson,Todd Flanders,Homer Simpson,Ned Flanders",Jeff Martin,Rich Moore
19,https://simpsons.fandom.com/wiki/Bart_vs._Thanksgiving,Bart vs. Thanksgiving,https://static.wikia.nocookie.net/simpsons/images/a/aa/Bart_vs._Thanksgiving_%28Promo_Picture%29.gif/revision/latest?cb=20120623204659,2.0,20,7F07,"November 22, 1990",Bart Simpson,George Meyer,David Silverman
20,https://simpsons.fandom.com/wiki/Bart_the_Daredevil,Bart the Daredevil,https://static.wikia.nocookie.net/simpsons/images/4/43/Daredevil_bart.jpg/revision/latest/scale-to-width-down/350?cb=20160619043051,2.0,21,7F06,"December 6, 1990","Homer Simpson,Bart Simpson",Jay Kogen & Wallace Wolodarsky,Wes Archer
21,https://simpsons.fandom.com/wiki/Itchy_%26_Scratchy_%26_Marge,Itchy & Scratchy & Marge,https://static.wikia.nocookie.net/simpsons/images/6/67/55473.jpg/revision/latest/scale-to-width-down/350?cb=20090811235722,,22,7F09,"December 20, 1990",Marge Simpson,John Swartzwelder,Jim Reardon
22,https://simpsons.fandom.com/wiki/Bart_Gets_Hit_by_a_Car,Bart Gets Hit by a Car,https://static.wikia.nocookie.net/simpsons/images/f/fd/Bart_Gets_Hit_by_a_Car_%28Promo_Picture%29.gif/revision/latest?cb=20120623203841,2.0,23,7F10,"January 10, 1991","Homer Simpson,Mr. Burns,Lionel Hutz",John Swartzwelder,"Mark Kirkland,David Silverman (Supervising Director)"
23,"https://simpsons.fandom.com/wiki/One_Fish,_Two_Fish,_Blowfish,_Blue_Fish","One Fish, Two Fish, Blowfish, Blue Fish",https://static.wikia.nocookie.net/simpsons/images/6/65/One_Fish%2C_Two_Fish%2C_Blowfish%2C_Blue_Fish_%28Promo_Picture%29.jpg/revision/latest?cb=20120623204149,2.0,24,7F11,"January 24, 1991",Homer Simpson,Nell Scovell,Wes Archer
24,https://simpsons.fandom.com/wiki/The_Way_We_Was,The Way We Was,https://static.wikia.nocookie.net/simpsons/images/d/d0/Young_Marge_and_Homer.jpg/revision/latest/scale-to-width-down/350?cb=20191003173949,,25,7F12,"January 31, 1991","Homer Simpson,Marge Simpson,Artie Ziff","Al Jean, Mike Reiss, and Sam Simon",David Silverman (Supervising Director)
25,https://simpsons.fandom.com/wiki/Homer_vs._Lisa_and_the_8th_Commandment,Homer vs. Lisa and the 8th Commandment,https://static.wikia.nocookie.net/simpsons/images/c/c0/Comm7.png/revision/latest?cb=20140805223908,2.0,26,7F13,"February 7, 1991","Homer Simpson,Lisa Simpson",Steve Pepoon,Rich Moore
26,https://simpsons.fandom.com/wiki/Principal_Charming,Principal Charming,https://static.wikia.nocookie.net/simpsons/images/8/8b/Principal_Charming.gif/revision/latest?cb=20090308210100,2.0,27,7F15,"February 14, 1991","Seymour Skinner,Patty Bouvier",David M. Stern,"Mark Kirkland,David Silverman (Supervising Director)"
27,"https://simpsons.fandom.com/wiki/Oh_Brother,_Where_Art_Thou%3F","Oh Brother, Where Art Thou?",https://static.wikia.nocookie.net/simpsons/images/9/92/Oh_Brother%2C_Where_Art_Thou_%28Promo_Picture%29.gif/revision/latest?cb=20120623205109,2.0,28,7F16,"February 21, 1991","Homer Simpson,Herb Powell",Jeff Martin,Wes Archer
